Id;Task description;Required inputs;Optional inputs;Outputs;Prompt;Training data for level 2/4;Training data for level 3/7
10;"Evaluate position based on FEN";"[FEN][...]";"[ELO][...]"; "[REASONING][...], [EVALUATION][...], [EVAL][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [EVAL][Estimated evaluation]. \n\n[TASK][I am an expert level chess player. My goal is to give an evaluation of this position: [FEN]. I always think step by step and always provide my reasoning.]";"Examples written by expert chess players + computer. (+variations by GPT4?)";"Computer + self-play."
11;"Evaluate position based on previous moves";"[MOVES][...]";"[ELO][...]"; "[REASONING][...], [EVALUATION][...], [EVAL][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [EVAL][Real number representing evaluation]. \n\n[TASK][I am an expert level chess player. My goal is to give an evaluation of the position reached after [MOVES]. I always think step by step and always provide my reasoning.]";"Examples written by expert chess players + computer. (+variations by GPT4?)";"Computer + self-play."
12;"Check if move is legal";"[FEN][...], [MOVE][...]";"[ELO][...]"; "[REASONING][...], [LEGALITY][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [LEGALITY][Legality of move]. \n\n[TASK][I am an expert level chess player. My goal is to check if the given move is legal. I always think step by step and always provide my reasoning. In this position: [FEN] the move: [MOVE] was played.]";"Examples written by chess players + computer. (+variations by GPT4?)";"Computer."
13;"Generate FEN based on previous moves";"[MOVES][...]";"[ELO][...]"; "[REASONING][...], [FEN][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [FEN][FEN-representation of position]. \n\n[TASK][I am an expert level chess analyst. My goal is to give the FEN-representation of the position that has been reached after these moves: [MOVES]. I always think step by step and always provide my reasoning.]";"Examples written by chess players + computer. (+variations by GPT4?)";"Computer."
14;"Guess the ELO based on FEN";"[FEN][...]";; "[REASONING][...], [ELO_WHITE][...], [ELO_BLACK][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [ELO_WHITE][Estimated ELO of white], [ELO_BLACK][Estimated ELO of black]. \n\n[TASK][I am an expert level chess analyst. My goal is to guess the ELO of both players in the position: [FEN]. I always think step by step and always provide my reasoning.]";"Examples written by expert ELO guessers + Lichess-data. (+variations by GPT4?)";"Chess.com or Lichess-data."
15;"Guess the ELO based on previous moves";"[MOVES][...]";; "[REASONING][...], [ELO_WHITE][...], [ELO_BLACK][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [ELO_WHITE][Estimated ELO of white], [ELO_BLACK][Estimated ELO of black]. \n\n[TASK][I am an expert level chess analyst. My goal is to guess the ELO of both players based on the following moves: [MOVES]. I always think step by step and always provide my reasoning.]";"Examples written by expert ELO guessers +  Lichess-data. (+variations by GPT4?)";"Chess.com or Lichess-data."
16;"Guess players based on FEN";"[FEN][...]";; "[REASONING][...], [NAME_WHITE][...], [NAME_BLACK][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [NAME_WHITE][Guessed name of white], [NAME_BLACK][Guessed name of black]. \n\n[TASK][I am an expert level chess analyst. My goal is to guess the name of both players in the position: [FEN]. I always think step by step and always provide my reasoning.]";"Examples written by expert player guessers +  Lichess-data. (+variations by GPT4?)";"Chess.com or Lichess-data."
17;"Guess players based on previous moves";"[MOVES][...]";; "[REASONING][...], [NAME_WHITE][...], [NAME_BLACK][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [NAME_WHITE][Guessed name of white], [NAME_BLACK][Guessed name of black]. \n\n[TASK][I am an expert level chess analyst. My goal is to guess the name of both players based on the following moves: [MOVES]. I always think step by step and always provide my reasoning.]";"Examples written by expert player guessers +  Lichess-data. (+variations by GPT4?)";"Chess.com or Lichess-data."
18;"Predict next move based on FEN";"[FEN][...]";"[ELO_WHITE][...], [ELO_BLACK][...], [NAME_WHITE][...], [NAME_BLACK][...]"; "[REASONING][...], [MOVE][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [MOVE][Predicted next move]. \n\n[TASK][I am an expert level chess analyst. My goal is to predict the next move that will be played in this position: [FEN]. (The player playing white is called [NAME_WHITE], black is called [NAME_BLACK].) (White has an ELO of [ELO_WHITE], black has an ELO of [ELO_BLACK].) I always think step by step and always provide my reasoning.]";"Examples written by expert move guessers +  Lichess-data. (+variations by GPT4?)";"Chess.com or Lichess-data."
19;"Predict next move based on previous moves";"[MOVES][...]";"[ELO_WHITE][...], [ELO_BLACK][...], [NAME_WHITE][...], [NAME_BLACK][...]"; "[REASONING][...], [MOVE][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [MOVE][Predicted next move]. \n\n[TASK][I am an expert level chess analyst. My goal is to predict the next move that will be played after [MOVES]. (The player playing white is called [NAME_WHITE], black is called [NAME_BLACK].) (White has an ELO of [ELO_WHITE], black has an ELO of [ELO_BLACK].) I always think step by step and always provide my reasoning.]";"Examples written by expert move guessers +  Lichess-data. (+variations by GPT4?)";"Chess.com or Lichess-data."
20;"Find opening name based on moves";"[MOVES][...]";; "[REASONING][...], [OPENING][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [OPENING][Name of the opening]. \n\n[TASK][I am an expert level chess player. My goal is to find the name of the opening characterized by these moves: [MOVES]. I always think step by step and always provide my reasoning.]";"Examples written by chess enthusiasts +  Lichess-data.";"Chess.com or Lichess-data."
21;"Generate moves based on opening name";"[OPENING][...]";; "[REASONING][...], [MOVES][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [MOVES][Moves that characterize opening]. \n\n[TASK][I am an expert level chess player. My goal is to generate the moves of the [OPENING]-opening. I always think step by step and always provide my reasoning.]";"Examples written by chess enthusiasts + Lichess-data.";"Chess.com or Lichess-data."
22;"Guess list of previous moves based on FEN";"[FEN][...]";"[ELO_WHITE][...], [ELO_BLACK][...], [NAME_WHITE][...], [NAME_BLACK][...]"; "[REASONING][...], [MOVES][...]"; "[TASK][Explanation for task], [REASONING][Reasoning for said task], [MOVES][Guessed moves]. \n\n[TASK][I am an expert level chess analyst. My goal is to guess the moves that were played to reach this position: [FEN]. (The player playing white is called [NAME_WHITE], black is called [NAME_BLACK].) (White has an ELO of [ELO_WHITE], black has an ELO of [ELO_BLACK].) I always think step by step and always provide my reasoning.]";"Examples written by expert move guessers + Lichess-data. (+variations by GPT4?)";"Chess.com or Lichess-data."
